#,Yogasana Name,IAST Name,2001 Edition Page,Intensity,Intermediate Plate,Final Asana Plate,Note,2015 Edition Page,Formatted Description,Pranayama Description,Pranayama Cautions,Pranayama Effects,Variation
N_V,Nadi Sodhana Pranayama,Nāḍī Śodhana Prāṇāyāma,,,,600,,373,"205 / Nāḍī Śodhana Prānāyāma
Technique

Follow the technique given in paras 1 to 8 of Sūrya Bhedana Prānāyāma. (Image 599)

Empty the lungs completely through the right nostril. Control the aperture of the right nostril with the inner side of the right thumb, away from the nail.

Now inhale slowly, steadily and deeply through the right nostril, controlling the aperture with the tip of the right thumb near the nail. Fill the lungs to the brim (pūraka). During this inhalation the left nostril is completely blocked by the ring and little fingers.

After full inhalation, block the right nostril completely with the pressure of the thumb and release the pressure of the ring and little fingers on the left nostril. Readjust them on the outer edge of the left nostril and keep it parallel to the septum. Exhale slowly, steadily and deeply through the left nostril. Empty the lungs completely. The pressure should be exerted from the inner sides of the tips of the ring and little fingers (away from the nails) (rechaka).

After full exhalation through the left nostril, change the pressure on it by adjusting the fingers. In the changed position, the tips of the ring and little fingers nearer the nails exert the pressure.

Now inhale through the left nostril slowly, steadily and deeply, filling the lungs to the brim (pūraka).

After full inhalation through the left nostril, block it and exhale through the right nostril, adjusting the pressure of the right thumb on the right nostril as stated in para. 2 above (rechaka).

This completes one cycle of Nāḍī Śodhana Prānāyāma. Here the rhythm of breathing is as follows: a. Exhale through the right nostril. b. Inhale through the right nostril. c. Exhale through the left nostril. d. Inhale through the left nostril. e. Exhale through the right nostril. f. Inhale through the right nostril. g. Exhale through the left nostril. h. Inhale through the left nostril. i. Exhale through the right nostril. j. Inhale through the right nostril ... and so on.

Stage (a) above is the preparatory one. The first real Nāḍī Śodhana Prānāyāma cycle starts at stage (b) and ends at stage (e). The second cycle starts at stage (f) and ends at stage (i). Stage (j) is the safety measure to be observed after the completion of the cycles in order to prevent gasping, breathlessness and strain on the heart.

Do 8 to 10 cycles at a stretch as described above. This may take 6 or 8 minutes.

Inhalation and exhalation from each side should take the same time. In the beginning the duration will be unequal. Persevere until equality is achieved.

After achieving mastery over the equal duration and precision over inhalation and exhalation on either side an attempt may be made to retain breath (antara kumbhaka) after inhaling.

This precision is only achieved after long practice.

Retention should not disturb the rhythm and equality of inhalation and exhalation. If either are disturbed curtail the period of retention or hold the breath on alternate cycles.

During retention after inhalation practise Mūla Bandha (see p. 366).

Do not attempt to hold the breath after exhalation (bāhya kumbhaka, Image 600) until you have mastered retention after inhalation (antara kumbhaka). Then during bāhya kumbhaka practise Uddiyana (Images 593, 594) with Mūla Bandha (see p. 366).

Retention and the lengthening of inhalation and exhalation should only be attempted with the help and under the guidance of an experienced Guru.

Always conclude by lying down in Savasana. (Image 592)

Effects Increases oxygen supply to the blood, refreshing the body; calms and purifies the nerves; stills and clears the mind (lucidity).

Note: Persons with high blood pressure or heart trouble should not hold their breath (kumbhaka). Persons with low blood pressure benefit from internal retention.","1. Sit in any asana following the techniques given in Paras 1 to 7 of Ujjayi, Stage V. 2. Bring the right hand to the nostrils and narrow both the nasal passages with the thumb, ring, and little fingers and exhale through both nostrils narrowly closed. 3. Inhale, following the techniques of Paras 3 and 4 of Stage Ia above. 4. Exhale, following the techniques of Paras 5 and 6 of Stage Ia. 5. When the lungs feel empty, block both nostrils and do external retention with uddiyana for fifteen seconds, or for as long as you can. 6. Release the uddiyana grip, readjust the fingers and follow the processes of inhalation and exhalation described in Paras 3 and 4 above. 7. Repeat an external retention with uddiyana. 8. The sequence of breath is: (a) exhale deeply through both nostrils; (b) breathe in through both passages; (c) out through both; (d) external retention with uddiyana; (e) breathe in through both passages; (f) out through both; (g) external retention with uddiyana; and so on. 9. One inhalation, one exhalation, and one external retention with uddiyana complete one cycle of this stage. 10. Repeat for ten to fifteen minutes, ending with inhalation. 11. Then lie down in Savasana.",,,Stage IIIa
N_VI,Nadi Sodhana Pranayama,Nāḍī Śodhana Prāṇāyāma,,,,600,,373,"205 / Nāḍī Śodhana Prānāyāma
Technique

Follow the technique given in paras 1 to 8 of Sūrya Bhedana Prānāyāma. (Image 599)

Empty the lungs completely through the right nostril. Control the aperture of the right nostril with the inner side of the right thumb, away from the nail.

Now inhale slowly, steadily and deeply through the right nostril, controlling the aperture with the tip of the right thumb near the nail. Fill the lungs to the brim (pūraka). During this inhalation the left nostril is completely blocked by the ring and little fingers.

After full inhalation, block the right nostril completely with the pressure of the thumb and release the pressure of the ring and little fingers on the left nostril. Readjust them on the outer edge of the left nostril and keep it parallel to the septum. Exhale slowly, steadily and deeply through the left nostril. Empty the lungs completely. The pressure should be exerted from the inner sides of the tips of the ring and little fingers (away from the nails) (rechaka).

After full exhalation through the left nostril, change the pressure on it by adjusting the fingers. In the changed position, the tips of the ring and little fingers nearer the nails exert the pressure.

Now inhale through the left nostril slowly, steadily and deeply, filling the lungs to the brim (pūraka).

After full inhalation through the left nostril, block it and exhale through the right nostril, adjusting the pressure of the right thumb on the right nostril as stated in para. 2 above (rechaka).

This completes one cycle of Nāḍī Śodhana Prānāyāma. Here the rhythm of breathing is as follows: a. Exhale through the right nostril. b. Inhale through the right nostril. c. Exhale through the left nostril. d. Inhale through the left nostril. e. Exhale through the right nostril. f. Inhale through the right nostril. g. Exhale through the left nostril. h. Inhale through the left nostril. i. Exhale through the right nostril. j. Inhale through the right nostril ... and so on.

Stage (a) above is the preparatory one. The first real Nāḍī Śodhana Prānāyāma cycle starts at stage (b) and ends at stage (e). The second cycle starts at stage (f) and ends at stage (i). Stage (j) is the safety measure to be observed after the completion of the cycles in order to prevent gasping, breathlessness and strain on the heart.

Do 8 to 10 cycles at a stretch as described above. This may take 6 or 8 minutes.

Inhalation and exhalation from each side should take the same time. In the beginning the duration will be unequal. Persevere until equality is achieved.

After achieving mastery over the equal duration and precision over inhalation and exhalation on either side an attempt may be made to retain breath (antara kumbhaka) after inhaling.

This precision is only achieved after long practice.

Retention should not disturb the rhythm and equality of inhalation and exhalation. If either are disturbed curtail the period of retention or hold the breath on alternate cycles.

During retention after inhalation practise Mūla Bandha (see p. 366).

Do not attempt to hold the breath after exhalation (bāhya kumbhaka, Image 600) until you have mastered retention after inhalation (antara kumbhaka). Then during bāhya kumbhaka practise Uddiyana (Images 593, 594) with Mūla Bandha (see p. 366).

Retention and the lengthening of inhalation and exhalation should only be attempted with the help and under the guidance of an experienced Guru.

Always conclude by lying down in Savasana. (Image 592)

Effects Increases oxygen supply to the blood, refreshing the body; calms and purifies the nerves; stills and clears the mind (lucidity).

Note: Persons with high blood pressure or heart trouble should not hold their breath (kumbhaka). Persons with low blood pressure benefit from internal retention.","1. Sit in any asana, following the techniques given in Paras 1 to 7 of Ujjayi, Stage V. 2. Bring the right hand to the nostrils as explained before and inhale, following the techniques given in Paras 3 to 6 of Stage Ib. 3. When the lungs are full, block the right nostril and hold the breath for a second as explained in Paras 7 and 8 of Stage IIb. 4. Exhale through the left nostril as described in Para. 9 of Stage Ib. 5. No breath should escape through the right nostril. 6. When the lungs feel empty, block both nostrils and do external retention with uddiyana for fifteen seconds, or for as long as you can. 7. Release the uddiyana grip, block the right nostril, and readjust the fingers for inhalation through the left. 8. Narrow the passage of the left nostril and inhale slowly, softly, and smoothly. 9. When the lungs are full, readjust the fingers. 10. Block the left nostril and exhale through the right. 11. When the lungs feel empty, block both nostrils, and do external retention with uddiyana for fifteen seconds, or for the same length of time as before. 12. Release the uddiyana grip. 13. Readjust the fingers for inhalation through the right nostril, blocking the left completely and repeat the sequence. 14. The breath sequence is as follows: (a) exhale deeply through the right nostril; (b) breathe in through the right nostril; (c) out through the left; (d) external retention with uddiyana; (e) breathe in through the left; (f) out through the right; (g) external retention with uddiyana; (h) breathe in through the right; and so on. 15. The cycle starts at (b) and ends at (g). 16. Repeat for ten to fifteen minutes starting with exhalation and ending with inhalation through the right nostril. 17. Then lie down in Savasana.",,,Stage IIIb
N_VII,Nadi Sodhana Pranayama,Nāḍī Śodhana Prāṇāyāma,,,,600,,373,"205 / Nāḍī Śodhana Prānāyāma
Technique

Follow the technique given in paras 1 to 8 of Sūrya Bhedana Prānāyāma. (Image 599)

Empty the lungs completely through the right nostril. Control the aperture of the right nostril with the inner side of the right thumb, away from the nail.

Now inhale slowly, steadily and deeply through the right nostril, controlling the aperture with the tip of the right thumb near the nail. Fill the lungs to the brim (pūraka). During this inhalation the left nostril is completely blocked by the ring and little fingers.

After full inhalation, block the right nostril completely with the pressure of the thumb and release the pressure of the ring and little fingers on the left nostril. Readjust them on the outer edge of the left nostril and keep it parallel to the septum. Exhale slowly, steadily and deeply through the left nostril. Empty the lungs completely. The pressure should be exerted from the inner sides of the tips of the ring and little fingers (away from the nails) (rechaka).

After full exhalation through the left nostril, change the pressure on it by adjusting the fingers. In the changed position, the tips of the ring and little fingers nearer the nails exert the pressure.

Now inhale through the left nostril slowly, steadily and deeply, filling the lungs to the brim (pūraka).

After full inhalation through the left nostril, block it and exhale through the right nostril, adjusting the pressure of the right thumb on the right nostril as stated in para. 2 above (rechaka).

This completes one cycle of Nāḍī Śodhana Prānāyāma. Here the rhythm of breathing is as follows: a. Exhale through the right nostril. b. Inhale through the right nostril. c. Exhale through the left nostril. d. Inhale through the left nostril. e. Exhale through the right nostril. f. Inhale through the right nostril. g. Exhale through the left nostril. h. Inhale through the left nostril. i. Exhale through the right nostril. j. Inhale through the right nostril ... and so on.

Stage (a) above is the preparatory one. The first real Nāḍī Śodhana Prānāyāma cycle starts at stage (b) and ends at stage (e). The second cycle starts at stage (f) and ends at stage (i). Stage (j) is the safety measure to be observed after the completion of the cycles in order to prevent gasping, breathlessness and strain on the heart.

Do 8 to 10 cycles at a stretch as described above. This may take 6 or 8 minutes.

Inhalation and exhalation from each side should take the same time. In the beginning the duration will be unequal. Persevere until equality is achieved.

After achieving mastery over the equal duration and precision over inhalation and exhalation on either side an attempt may be made to retain breath (antara kumbhaka) after inhaling.

This precision is only achieved after long practice.

Retention should not disturb the rhythm and equality of inhalation and exhalation. If either are disturbed curtail the period of retention or hold the breath on alternate cycles.

During retention after inhalation practise Mūla Bandha (see p. 366).

Do not attempt to hold the breath after exhalation (bāhya kumbhaka, Image 600) until you have mastered retention after inhalation (antara kumbhaka). Then during bāhya kumbhaka practise Uddiyana (Images 593, 594) with Mūla Bandha (see p. 366).

Retention and the lengthening of inhalation and exhalation should only be attempted with the help and under the guidance of an experienced Guru.

Always conclude by lying down in Savasana. (Image 592)

Effects Increases oxygen supply to the blood, refreshing the body; calms and purifies the nerves; stills and clears the mind (lucidity).

Note: Persons with high blood pressure or heart trouble should not hold their breath (kumbhaka). Persons with low blood pressure benefit from internal retention.","1. Sit in any asana following the techniques given in Paras 1 to 4 of Stage Ia above. 2. When the lungs are completely full, block both nostrils and do internal retention with mula bandha for twenty seconds. 3. Readjust the fingers for exhalation, and exhale following the technique given in Para 5 of Stage Ia. 4. When the lungs feel empty, block both nostrils. 5. Do external retention with uddiyana for fifteen seconds. 6. Release the uddiyana grip and inhale as in Para 3. 7. The breath sequence is as follows: (a) exhale through both nostrils; (b) breathe in through both nostrils; (c) internal retention with mula bandha; (d) breathe out through both nostrils; (e) external retention with uddiyana; breathe in through both nostrils; and so on. 8. The cycle commences at (b) and ends at (e). 9. Repeat for ten to fifteen minutes, ending with inhalation. 10. Then lie in Savasana.",,,Stage IVa
N_VIII,Nadi Sodhana Pranayama,Nāḍī Śodhana Prāṇāyāma,,,,600,,373,"205 / Nāḍī Śodhana Prānāyāma
Technique

Follow the technique given in paras 1 to 8 of Sūrya Bhedana Prānāyāma. (Image 599)

Empty the lungs completely through the right nostril. Control the aperture of the right nostril with the inner side of the right thumb, away from the nail.

Now inhale slowly, steadily and deeply through the right nostril, controlling the aperture with the tip of the right thumb near the nail. Fill the lungs to the brim (pūraka). During this inhalation the left nostril is completely blocked by the ring and little fingers.

After full inhalation, block the right nostril completely with the pressure of the thumb and release the pressure of the ring and little fingers on the left nostril. Readjust them on the outer edge of the left nostril and keep it parallel to the septum. Exhale slowly, steadily and deeply through the left nostril. Empty the lungs completely. The pressure should be exerted from the inner sides of the tips of the ring and little fingers (away from the nails) (rechaka).

After full exhalation through the left nostril, change the pressure on it by adjusting the fingers. In the changed position, the tips of the ring and little fingers nearer the nails exert the pressure.

Now inhale through the left nostril slowly, steadily and deeply, filling the lungs to the brim (pūraka).

After full inhalation through the left nostril, block it and exhale through the right nostril, adjusting the pressure of the right thumb on the right nostril as stated in para. 2 above (rechaka).

This completes one cycle of Nāḍī Śodhana Prānāyāma. Here the rhythm of breathing is as follows: a. Exhale through the right nostril. b. Inhale through the right nostril. c. Exhale through the left nostril. d. Inhale through the left nostril. e. Exhale through the right nostril. f. Inhale through the right nostril. g. Exhale through the left nostril. h. Inhale through the left nostril. i. Exhale through the right nostril. j. Inhale through the right nostril ... and so on.

Stage (a) above is the preparatory one. The first real Nāḍī Śodhana Prānāyāma cycle starts at stage (b) and ends at stage (e). The second cycle starts at stage (f) and ends at stage (i). Stage (j) is the safety measure to be observed after the completion of the cycles in order to prevent gasping, breathlessness and strain on the heart.

Do 8 to 10 cycles at a stretch as described above. This may take 6 or 8 minutes.

Inhalation and exhalation from each side should take the same time. In the beginning the duration will be unequal. Persevere until equality is achieved.

After achieving mastery over the equal duration and precision over inhalation and exhalation on either side an attempt may be made to retain breath (antara kumbhaka) after inhaling.

This precision is only achieved after long practice.

Retention should not disturb the rhythm and equality of inhalation and exhalation. If either are disturbed curtail the period of retention or hold the breath on alternate cycles.

During retention after inhalation practise Mūla Bandha (see p. 366).

Do not attempt to hold the breath after exhalation (bāhya kumbhaka, Image 600) until you have mastered retention after inhalation (antara kumbhaka). Then during bāhya kumbhaka practise Uddiyana (Images 593, 594) with Mūla Bandha (see p. 366).

Retention and the lengthening of inhalation and exhalation should only be attempted with the help and under the guidance of an experienced Guru.

Always conclude by lying down in Savasana. (Image 592)

Effects Increases oxygen supply to the blood, refreshing the body; calms and purifies the nerves; stills and clears the mind (lucidity).

Note: Persons with high blood pressure or heart trouble should not hold their breath (kumbhaka). Persons with low blood pressure benefit from internal retention.","1. Sit in any asana following the techniques given in Paras 1 to 7 of Stage Ib, keeping the left nostril blocked. 2. When the lungs are completely full, block both nostrils and do internal retention with mula bandha for twenty, twenty-five, or thirty seconds. 3. Readjust the fingers for exhalation; block the right nostril and keep the left narrow. 4. Exhale through the left nostril, making the passage as narrow as you can, following the technique of Para. 9 of Stage Ib. 5. When the lungs feel empty, block both nostrils and do external retention with uddiyana for fifteen seconds. 6. Release the uddiyana grip, and readjust the fingers for inhalation. 7. Block the right nostril and narrow the left. 8. Inhale slowly, softly, and smoothly through the left. 9. When the lungs are completely full, block both nostrils and do internal retention with mula bandha for twenty to thirty seconds. 10. Prepare for exhalation and readjust the fingers. 11. Block the left nostril. 12. Release the grip of the thumb-tip and narrow the right nostril. 13. Exhale until the lungs are empty. 14. When the lungs feel empty, block both nostrils and do external retention with uddiyana for fifteen seconds. 15. Release the uddiyana grip and readjust the fingers for inhalation. 16. Block the left nostril and inhale through the right as described in Para. 3 above, and continue in the same way. 17. The breath sequence is: (a) exhale through the right nostril; (b) breathe in through the right nostril; (c) internal retention with mula bandha; breathe out through the left nostril; (e) external retention with uddiyana; in through the left nostril; (g) internal retention with mula bandha; (h) out through the right nostril; external retention with uddiyana; through the right nostril, and so on. 18. The cycle in this stage commences at (b) and ends with (i). 19. Repeat for ten to fifteen minutes, ending with inhalation through the right nostril. 20. Then lie down in Savasana.",,,Stage IVb
BH_I,Bhastrika Pranayama,Bhasrīkā Prāṇāyāma,,-,,,,377,"206 / Bhastrikā Prānāyāma
The technique is given in two stages here.

Technique: Stage I

Follow the technique in paras 1 and 2 of Ujjayi.

Take a fast, vigorous breath and exhale fast and forcefully. One inhalation and one exhalation completes a cycle of Bhastrikā. The sound made resembles air rushing through bellows.

Complete at a stretch 10 to 12 cycles. Then take a slow deep breath as in Ujjayi. Retain the breath with Mūla Bandha for 2 to 3 seconds, then exhale slowly and deeply as in Ujjayi.

This Ujjayi type of breathing rests the lungs and the diaphragm and prepares them for fresh cycles of Bhastrikā.

Repeat the cycles of Bhastrikā three to four times with Ujjayi breathing in between.

If the sound of the air lessens, and the vigour diminishes, then reduce their number.

After completion lie down in Savasana. (Image 592)

Technique: Stage II

Follow the technique in paras 1 and 2 of Ujjayi.

Adjust the thumb and finger pressure on the nostrils as explained in the technique of Sūrya Bhedana.

Close the left nostril completely but keep the right nostril partially open.

Inhale and exhale vigorously only through the right nostril for 10 to 12 cycles of Bhastrikā as in Stage I above.

Close the right nostril. Open the left nostril partially and repeat Bhastrikā for an equal number of cycles.

Release the fingers from the nostrils.

Take a few deep breaths as in Ujjayi.

Repeat the cycles on both sides three or four times, doing Ujjayi in between.

After completion lie down in Savasana. (Image 592)","1. Sit in any comfortable position, following the techniques given in Paras of ujjayi, Stage V. 2. Exhale whatever breath is in the lungs. 3. Take a short, strong breath and expel it with a quick strong blast. 4. Repeat this and you will find the second in-breath quicker and more forceful than the first one due to the forceful character of the preceding out-breath. 5. One quick in and out breath, taken together, completes one blast of bhastrika. 6. Do four to eight such blasts at a stretch to complete one cycle, ending with an out-breath. 7. Now take a few slow and deep breaths as in ujjayi, or if you wish you may hold your breath within, with mula bandha, for five to eight seconds. 8. Then exhale slowly and deeply as in ujjayi. 9. Repeat cycles of bhastrika blasts interspersed with ujjayi, with or without retention, three or four times. 10. Then take a deep breath and lie in savasana.",,,Stage I
BH_II,Bhastrika Pranayama,Bhasrīkā Prāṇāyāma,,-,,,,377,"206 / Bhastrikā Prānāyāma
The technique is given in two stages here.

Technique: Stage I

Follow the technique in paras 1 and 2 of Ujjayi.

Take a fast, vigorous breath and exhale fast and forcefully. One inhalation and one exhalation completes a cycle of Bhastrikā. The sound made resembles air rushing through bellows.

Complete at a stretch 10 to 12 cycles. Then take a slow deep breath as in Ujjayi. Retain the breath with Mūla Bandha for 2 to 3 seconds, then exhale slowly and deeply as in Ujjayi.

This Ujjayi type of breathing rests the lungs and the diaphragm and prepares them for fresh cycles of Bhastrikā.

Repeat the cycles of Bhastrikā three to four times with Ujjayi breathing in between.

If the sound of the air lessens, and the vigour diminishes, then reduce their number.

After completion lie down in Savasana. (Image 592)

Technique: Stage II

Follow the technique in paras 1 and 2 of Ujjayi.

Adjust the thumb and finger pressure on the nostrils as explained in the technique of Sūrya Bhedana.

Close the left nostril completely but keep the right nostril partially open.

Inhale and exhale vigorously only through the right nostril for 10 to 12 cycles of Bhastrikā as in Stage I above.

Close the right nostril. Open the left nostril partially and repeat Bhastrikā for an equal number of cycles.

Release the fingers from the nostrils.

Take a few deep breaths as in Ujjayi.

Repeat the cycles on both sides three or four times, doing Ujjayi in between.

After completion lie down in Savasana. (Image 592)","1. Both nostrils are kept partially closed throughout. 2. Sit in any comfortable position, following the techniques of Paras of ujjayi, Stage V. 3. Exhale whatever breath is in the lungs. 4. Bring the right hand to the nostrils as explained in Paras 12 to 22 in Ch. 22 on digital pranayama. 5. Partially close both nostrils with the tips of the thumb, ring, and little fingers. Make sure that both sides of each nostril are even. 6. Now perform bhastrika blasts following the techniques given in Paras 1 to 7 of Stage I above. 7. Repeat five or six times, take a few deep breaths, then lie in savasana.",,,Stage II
BH_III,Bhastrika Pranayama,Bhasrīkā Prāṇāyāma,,-,,,,377,"206 / Bhastrikā Prānāyāma
The technique is given in two stages here.

Technique: Stage I

Follow the technique in paras 1 and 2 of Ujjayi.

Take a fast, vigorous breath and exhale fast and forcefully. One inhalation and one exhalation completes a cycle of Bhastrikā. The sound made resembles air rushing through bellows.

Complete at a stretch 10 to 12 cycles. Then take a slow deep breath as in Ujjayi. Retain the breath with Mūla Bandha for 2 to 3 seconds, then exhale slowly and deeply as in Ujjayi.

This Ujjayi type of breathing rests the lungs and the diaphragm and prepares them for fresh cycles of Bhastrikā.

Repeat the cycles of Bhastrikā three to four times with Ujjayi breathing in between.

If the sound of the air lessens, and the vigour diminishes, then reduce their number.

After completion lie down in Savasana. (Image 592)

Technique: Stage II

Follow the technique in paras 1 and 2 of Ujjayi.

Adjust the thumb and finger pressure on the nostrils as explained in the technique of Sūrya Bhedana.

Close the left nostril completely but keep the right nostril partially open.

Inhale and exhale vigorously only through the right nostril for 10 to 12 cycles of Bhastrikā as in Stage I above.

Close the right nostril. Open the left nostril partially and repeat Bhastrikā for an equal number of cycles.

Release the fingers from the nostrils.

Take a few deep breaths as in Ujjayi.

Repeat the cycles on both sides three or four times, doing Ujjayi in between.

After completion lie down in Savasana. (Image 592)","1. Bhastrika is done through alternate nostrils, with interspersion of ujjayi breaths. 2. Sit in any comfortable position, following the techniques given in Paras of ujjayi, Stage V. 3. Exhale whatever breath is in the lungs. 4. Bring the right hand to the nostrils as explained in Paras 12 to 22 of Ch. 22 on digital pranayama. 5. With the help of digital control, block the left nostril completely and the right one partially. 6. Inhale and exhale through the right nostril vigorously, doing four to eight blasts at a stretch making sure the pressure is the same with each blast. 7. See that no breath escapes from the left nostril and end with a blast of out-breath. 8. Now block the right nostril, partially open the left and breathe vigorously through it with the same number of blasts as on the right and keeping the same pressure for each blast. 9. See that no breath escapes from the right nostril. End the blast with an out-breath. 10. These two together complete one cycle of Stage III. 11. Repeat them on both sides three or four times, take a few deep breaths, and then lie in savasana. 12. If you cannot do several cycles at a stretch, then after each cycle take a few breaths as in ujjayi to rest the lungs.",,,Stage III
BH_IV,Bhastrika Pranayama,Bhasrīkā Prāṇāyāma,,-,,,,377,"206 / Bhastrikā Prānāyāma
The technique is given in two stages here.

Technique: Stage I

Follow the technique in paras 1 and 2 of Ujjayi.

Take a fast, vigorous breath and exhale fast and forcefully. One inhalation and one exhalation completes a cycle of Bhastrikā. The sound made resembles air rushing through bellows.

Complete at a stretch 10 to 12 cycles. Then take a slow deep breath as in Ujjayi. Retain the breath with Mūla Bandha for 2 to 3 seconds, then exhale slowly and deeply as in Ujjayi.

This Ujjayi type of breathing rests the lungs and the diaphragm and prepares them for fresh cycles of Bhastrikā.

Repeat the cycles of Bhastrikā three to four times with Ujjayi breathing in between.

If the sound of the air lessens, and the vigour diminishes, then reduce their number.

After completion lie down in Savasana. (Image 592)

Technique: Stage II

Follow the technique in paras 1 and 2 of Ujjayi.

Adjust the thumb and finger pressure on the nostrils as explained in the technique of Sūrya Bhedana.

Close the left nostril completely but keep the right nostril partially open.

Inhale and exhale vigorously only through the right nostril for 10 to 12 cycles of Bhastrikā as in Stage I above.

Close the right nostril. Open the left nostril partially and repeat Bhastrikā for an equal number of cycles.

Release the fingers from the nostrils.

Take a few deep breaths as in Ujjayi.

Repeat the cycles on both sides three or four times, doing Ujjayi in between.

After completion lie down in Savasana. (Image 592)","1. In stage III one cycle of bhastrika blasts is done through the right nostril, the other from the left. 2. In this stage, the in and out blasts are done through alternate nostrils; that is, if the in-breath is done from the right, then the out-breath is from the left and then the other way round. 3. Four or five such blasts form one half-cycle. 4. The other one starts with an in-breath from the left and is followed by an out-breath from the right, with an equal number of blasts. 5. These two make one cycle of Stage IV. 6. Sit in any comfortable position, following the techniques given in Paras of ujjayi, Stage V. 7. Exhale whatever breath is in the lungs. 8. Bring the right hand to the nostrils as explained in Paras 12 to 22 in Ch. 22 on digital pranayama. 9. Block the left nostril, half-open the right and take a quick strong in-breath through it. 10. Quickly close the right nostril, half-open the left and breathe out quickly and vigorously through it. 11. Do four or five blasts in quick succession. This forms the first half-cycle. 12. Now do the other half-cycle, repeating the same procedure as above, but breathing in from the left and out through the right. 13. This completes the second half-cycle. Do an equal number of blasts as above, maintaining the same rhythm, tone, and volume throughout. 14. Do three to four such full cycles, take a few breaths of ujjayi to rest the lungs, and then rest in savasana.",,,Stage IV
207,Kapalabhati Pranayama,Kapālabhāti Prānāyāma,,-,,,,378,"207. Kapālabhāti Prānāyāma
The process or kriya of Kapālabhāti (kapāla = skull; bhāti = light, lustre) is a milder form of Bhastrikā Prānāyāma. In Kapālabhāti, the inhalation is slow but the exhalation is vigorous. There is a split second of retention after each exhalation.

Do a few cycles of Kapālabhāti instead of Bhastrikā if the latter breathing proves too strenuous. Lie down in Savasana after finishing Kapālabhāti. (Image 592)

Effects Both Bhastrikā and Kapālabhāti activate and invigorate the liver, spleen, pancreas and abdominal muscles. Thus digestion is improved, the sinuses are drained, the eyes feel cool and one has a general sense of exhilaration.

Caution

As a locomotive engine is stoked with coal to generate steam to pull the train, so Bhastrikā generates prāna to activate the entire body. Too much stoking burns out the boiler of the engine. So also too long a practice of Bhastrikā wears out the system as the breathing process is forceful.

Persons with a weak constitution and poor lung capacity should not attempt Bhastrikā or Kapālabhāti.

Those suffering from ear or eye complaints (pus in the ear, detachment of the retina or glaucoma) should not attempt them either.

Nor should persons with high or low blood pressure.

If the nose starts to bleed or the ears to throb and ache, immediately stop Bhastrikā or Kapālabhāti.

Do not practise either for some time.","Kapalabhati, sometimes referred to as a pranayama or a kriya, involves slow inhalation and vigorous exhalation. The term 'kapala' means skull and 'bhati' means light or luster. This technique is similar to bhastrika but milder. It includes a split second of retention after each exhalation. Kapalabhati can be divided into stages similar to bhastrika and practiced accordingly.",Do kapalabhati instead of bhastrika if the latter proves too strenuous.,"Kapalabhati is similar to bhastrika but milder. It involves slow inhalation and vigorous exhalation, with a split second of retention after each out-breath.",Standard
BR_I,Bhramari Pranayama,Bhrāmarī Prāṇāyāma,,-,,,,378,"208 / Bhramari Pranayama
Technique

Sit in any comfortable position like Padmasana (Image 104), Siddhasana (Image 84) or Virasana (Image 89).

Keep the back erect and rigid. Lower the head to the trunk. Rest the chin in the notch between the collar-bones just above the breast-bone. (This is the Jalandhara Bandha.)

Stretch the arms out straight and rest the back of the wrists on the knees. Join the tips of the index fingers to the tips of the thumbs, keeping the other fingers extended. (This position or gesture of the hand is known as the Jñāna Mudra, the symbol or seal of knowledge. The index finger symbolises the individual soul and the thumb the Universal Soul. The union of the two symbolises knowledge.)

Close the eyes and look inwards. (Image 597)

Exhale completely.

Inhalation (Pūraka): Take a slow, deep steady breath through both nostrils. The passage of the incoming air is felt on the roof of the palate and makes a sibilant sound (sa). This sound should be heard. Fill the lungs up to the brim. Care should be taken not to bloat the abdomen in the process of inhalation.

The entire abdominal area from the pubes up to the breast-bone should be pulled back towards the spine.

Retention (Antara Kumbhaka): Hold the breath for a second or two. Observe Mūla Bandha as described on p. 366.

Exhalation (Rechaka): Exhale slowly, deeply and steadily, until the lungs are completely empty. As you begin to exhale, keep your grip on the abdomen. After two or three seconds of exhalation, relax the diaphragm gradually and slowly.

Note: Unlike standard Ujjayi, during this exhalation, a soft humming sound like the murmuring of bees is made.

Wait (Bāhya Kumbhaka): Wait for a second before drawing a fresh breath.

Repeat the cycles for 5 to 10 minutes keeping the eyes closed throughout.

Lie on the floor in Savasana. (Image 592)

Effects The soft humming sound produced during exhalation is helpful in treating cases of insomnia. (As this practice is based on Ujjayi, it also soothes the nerves and tones the entire system).",1. Perform deep inhalations as in Ujjayi Pranayama. 2. Perform deep exhalations with a humming or murmuring sound. 3. Do not hold the breath (kumbhakas) in this pranayama. 4. Bhramari may also be done while performing Sanmukhi Mudra without Jalandhara Bandha.,,,Stage I
